aoi,date,fid,area_ha,mean_dnbr,pre_bright,post_bright,delta,decision
35TPE,2025-08-14,0,1964.7,0.37512977497499894,1299.8,1113.0,-0.144,keep
35TPE,2025-08-14,1,20.4,0.3179715677409883,1435.3,1173.7,-0.182,keep
35TPE,2025-08-14,2,158.2,0.33035044079727266,1278.6,1076.4,-0.158,keep
36STF,2025-08-08,0,56.5,0.5388297304828734,1682.7,1657.1,-0.015,keep
36STF,2025-08-13,0,28.4,0.38355977082376486,1406.8,1480.2,0.052,eliminate
36STG,2025-08-08,0,55.1,0.5126930893660828,1663.5,1639.3,-0.015,keep
36STG,2025-08-13,0,22.5,0.16774647406912346,2220.1,1905.7,-0.142,keep
36STG,2025-08-13,1,33.6,0.3768917266158109,1420.1,1490.6,0.05,keep
36STH,2025-08-08,0,44.6,0.23319744864489042,2352.5,2419.2,0.028,keep
36STH,2025-08-08,1,82.2,0.5097094482909801,1628.9,1552.3,-0.047,keep
36STH,2025-08-11,0,42.9,0.19321631585921278,2405.5,2558.6,0.064,eliminate
36STJ,2025-08-11,0,36.6,0.32691954567930476,2509.2,2018.3,-0.196,keep
36STJ,2025-08-11,1,73.0,0.3647427334982483,1782.2,1894.8,0.063,eliminate
36STJ,2025-08-11,2,89.7,0.19427281715929545,2364.0,2293.6,-0.03,keep
36STJ,2025-08-11,3,23.7,0.20110369095196673,2265.6,2175.2,-0.04,keep
36STJ,2025-08-11,4,88.9,0.1977869261321025,2191.3,1792.7,-0.182,keep
36STJ,2025-08-11,5,55.3,0.19995858043766465,2730.6,2633.4,-0.036,keep
36STJ,2025-08-11,6,33.1,0.21444163878416894,2572.5,2411.2,-0.063,keep
36STJ,2025-08-11,7,58.3,0.1946542433118057,2204.8,1891.8,-0.142,keep
36STJ,2025-08-13,0,32.4,0.29693690493384106,2495.0,1990.8,-0.202,keep
36STJ,2025-08-13,1,31.8,0.19086639798142452,2132.0,1795.0,-0.158,keep
36STJ,2025-08-13,2,28.9,0.18526598460140076,2677.0,2603.9,-0.027,keep
36STJ,2025-08-13,3,20.9,0.18089873977296206,2301.1,1962.9,-0.147,keep
36SUF,2025-08-08,0,54.5,0.5230933326485502,1649.3,1639.6,-0.006,keep
36SUF,2025-08-15,0,3.2,0.21929130791821738,1634.1,1853.3,0.134,eliminate
36SUF,2025-08-15,1,5.7,0.2427730143850288,1722.2,1845.0,0.071,eliminate
36SUF,2025-08-15,2,4.0,0.19330652325724962,2372.8,2189.8,-0.077,keep
36SUF,2025-08-15,3,6.3,0.24532290117182448,2245.8,2046.8,-0.089,keep
36SUF,2025-08-15,4,3.2,0.2030013965817254,1922.4,2100.2,0.092,eliminate
36SUF,2025-08-15,5,6.3,0.22886285562153078,1735.1,1890.9,0.09,eliminate
36SUF,2025-08-15,6,4.0,0.3190174571163228,2075.4,3402.0,0.639,eliminate
36SUG,2025-08-08,0,47.3,0.5227622110560926,1602.3,1609.4,0.004,keep
36SUG,2025-08-13,0,10.3,0.5187281622642355,1991.3,1916.9,-0.037,keep
36SUG,2025-08-13,1,3.7,0.3196517530385241,2274.3,2324.5,0.022,keep
36SUG,2025-08-13,2,10.0,0.2351422205523517,1429.5,1515.3,0.06,eliminate
36SUG,2025-08-13,3,11.5,0.2527496795464,1694.4,2153.2,0.271,eliminate
36SUG,2025-08-13,4,17.2,0.24672666939380694,1418.9,1365.8,-0.037,keep
